;Hora 1;Hora 2;Hora 3;Hora 4;Hora 5;Hora 6;Hora 7;Hora 8;Hora 9;Hora 10;Hora 11;Hora 12;Hora 13;Hora 14;Hora 15;Hora 16;Hora 17;Hora 18;Hora 19;Hora 20;Hora 21;Hora 22;Hora 23;Hora 24
Cliente 30; -   ; -   ; -   ; -   ; -   ; -   ; 0,09 ; 0,98 ; 2,02 ; 2,39 ; 2,36 ; 1,89 ; 0,81 ; 0,30 ; 1,30 ; 2,46 ; 2,55 ; 2,05 ; 1,59 ; 1,33 ; 1,12 ; 0,69 ; 0,25 ; -   
Cliente 31; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 0,70 ; 1,68 ; 2,09 ; 2,18 ; 1,95 ; 1,32 ; 1,19 ; 1,61 ; 1,70 ; 1,77 ; 2,07 ; 2,38 ; 2,16 ; 1,16 ; 0,23 ; -   ; 0,02 
Cliente 32; -   ; -   ; -   ; -   ; -   ; -   ; 0,07 ; 0,78 ; 1,54 ; 1,87 ; 2,15 ; 2,02 ; 1,26 ; 1,19 ; 1,98 ; 2,31 ; 2,14 ; 2,06 ; 1,98 ; 1,60 ; 0,89 ; 0,25 ; -   ; -   
Cliente 33; -   ; -   ; -   ; -   ; -   ; -   ; 0,06 ; 0,87 ; 1,70 ; 2,11 ; 2,41 ; 2,28 ; 1,57 ; 1,43 ; 1,92 ; 2,19 ; 2,14 ; 1,95 ; 1,68 ; 1,22 ; 0,55 ; 0,07 ; -   ; 0,02 
Cliente 34; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 0,49 ; 1,31 ; 1,89 ; 2,20 ; 2,34 ; 1,97 ; 1,80 ; 2,11 ; 2,41 ; 2,58 ; 2,48 ; 1,77 ; 0,75 ; 0,12 ; -   ; -   ; 0,03 
Cliente 35; -   ; -   ; -   ; -   ; -   ; -   ; 0,26 ; 1,09 ; 1,94 ; 2,32 ; 2,52 ; 2,29 ; 1,69 ; 1,66 ; 2,15 ; 2,24 ; 2,08 ; 1,94 ; 1,40 ; 0,58 ; 0,03 ; -   ; -   ; 0,02 
Cliente 36; 0,91 ; 0,90 ; 0,90 ; 0,92 ; 0,94 ; 0,86 ; 0,75 ; 0,75 ; 0,83 ; 0,85 ; 0,80 ; 1,00 ; 1,10 ; 0,93 ; 0,72 ; 0,71 ; 0,68 ; 0,67 ; 0,70 ; 1,00 ; 1,75 ; 2,07 ; 1,86 ; 1,37 
Cliente 37; 1,06 ; 0,82 ; 0,74 ; 0,74 ; 0,72 ; 0,91 ; 0,99 ; 0,76 ; 0,48 ; 0,47 ; 0,55 ; 0,85 ; 1,06 ; 1,03 ; 0,83 ; 0,71 ; 0,66 ; 0,90 ; 1,57 ; 2,25 ; 2,13 ; 1,69 ; 1,24 ; 0,84 
Cliente 38; 1,12 ; 1,16 ; 1,09 ; 1,01 ; 1,01 ; 1,02 ; 1,12 ; 0,93 ; 0,50 ; 0,22 ; 0,22 ; 0,13 ; 0,39 ; 0,93 ; 1,22 ; 1,11 ; 1,19 ; 1,56 ; 1,87 ; 1,93 ; 1,88 ; 1,46 ; 0,84 ; 0,10 
Cliente 39; 0,74 ; 0,17 ; -   ; 0,01 ; 0,07 ; 0,08 ; 0,08 ; 0,17 ; 0,35 ; 0,78 ; 1,23 ; 1,38 ; 1,33 ; 1,29 ; 1,21 ; 1,15 ; 1,39 ; 1,88 ; 2,19 ; 2,12 ; 2,14 ; 2,07 ; 1,55 ; 0,66 
